,Milkshake - Red Velvet - [None],Cool World - Red Velvet - [None],'Cause It's You - Red Velvet - [None],Lady's Room - Red Velvet - [None],Eyes Locked Hands Locked - Red Velvet - [None],Butterflies - Red Velvet - [None],Aitai-tai - Red Velvet - [None],With You - Red Velvet - [None],Power Up - Red Velvet - [None],Jelly - Red Velvet - [None],Parade - Red Velvet - [None],Sunny Afternoon - Red Velvet - [None],Bad Dracula - Red Velvet - [None],Cool Hot Sweet Love - Red Velvet - [None],Ice Cream Cake - Red Velvet - [None],Blue Lemonade - Red Velvet - [None],I Just - Red Velvet - [None],Red Flavor - Red Velvet - [None],Jumpin' - Red Velvet - [None],So Good - Red Velvet - [None],Feel Good - Red Velvet - [None],Naughty - Red Velvet - [None],Mojito - Red Velvet - [None],Peek-A-Boo - Red Velvet - [None],Red Dress - Red Velvet - [None],Bing Bing - Red Velvet - [None],You Better Know - Red Velvet - [None],Last Love - Red Velvet - [None],In & Out - Red Velvet - [None],Rookie - Red Velvet - [None],Remember Forever - Red Velvet - [None],Rose Scent Breeze - Red Velvet - [None],Day 1 - Red Velvet - [None],One of These Nights - Red Velvet - [None],Love Is The Way - Red Velvet - [None],Campfire - Red Velvet - [None],Uncover - Red Velvet - [None],Be Natural - Red Velvet - [None],Taste - Red Velvet - [None],Ladies Night - Red Velvet - [None],Talk to Me - Red Velvet - [None],Some Love - Red Velvet - [None],Psycho - Red Velvet - [None],Perfect 10 - Red Velvet - [None],Diamond - Red Velvet - [None],Mosquito - Red Velvet - [None],LP - Red Velvet - [None],Body Talk - Red Velvet - [None],My Second Date - Red Velvet - [None],Sassy Me - Red Velvet - [None],La Rouge - Red Velvet - [None],Zoo - Red Velvet - [None],Dumb Dumb - Red Velvet - [None],Don't U Wait No More - Red Velvet - [None],Russian Roulette - Red Velvet - [None],Take It Slow - Red Velvet - [None],Oh Boy - Red Velvet - [None],Hit That Drum - Red Velvet - [None],Huff N Puff - Red Velvet - [None],Zimzalabim - Red Velvet - [None],Carpool - Red Velvet - [None],Light Me Up - Red Velvet - [None],Time Slip - Red Velvet - [None],Kingdom Come - Red Velvet - [None],Hear The Sea - Red Velvet - [None],Mr. E - Red Velvet - [None],Candy - Red Velvet - [None],My Dear - Red Velvet - [None],About Love - Red Velvet - [None],Swimming Pool - Red Velvet - [None],Time to Love - Red Velvet - [None],Happily Ever After - Red Velvet - [None],Sunny Side Up! - Red Velvet - [None],Lucky Girl - Red Velvet - [None],Umpah Umpah - Red Velvet - [None],Sappy - Red Velvet - [None],All Right - Red Velvet - [None],Stupid Cupid - Red Velvet - [None],Cookie Jar - Red Velvet - [None],Automatic - Red Velvet - [None],Sayonara - Red Velvet - [None],Happiness - Red Velvet - [None],Attaboy - Red Velvet - [None],Fool - Red Velvet - [None],Monster - Red Velvet - [None],Bad Boy - Red Velvet - [None],First Time - Red Velvet - [None],Look - Red Velvet - [None],Little Little - Red Velvet - [None],Somethin Kinda Crazy - Red Velvet - [None],Moonlight Melody - Red Velvet - [None],RBB - Red Velvet - [None]
Milkshake - Red Velvet - [None],1606,472,442,373,911,1069,517,600,911,725,631,443,457,714,1039,1080,989,1137,732,955,757,1133,569,1298,571,658,1122,376,1325,783,829,320,531,828,829,402,686,674,534,856,846,371,1483,690,614,627,933,684,653,940,1030,922,1067,442,1153,395,800,873,525,1044,722,685,446,1196,525,620,762,352,527,553,615,590,1394,667,1048,706,451,368,906,825,564,774,538,456,1238,1367,303,979,724,532,674,1056
Cool World - Red Velvet - [None],472,996,387,328,653,704,445,399,484,473,370,362,318,550,592,650,687,645,426,658,534,645,441,708,449,413,786,321,740,455,498,286,431,532,497,358,457,384,395,524,543,359,887,533,394,397,551,609,467,564,545,558,655,346,686,342,582,480,399,601,445,515,420,751,415,425,577,302,408,456,496,416,731,420,575,429,367,272,508,530,449,419,377,326,695,818,284,610,556,399,449,592
'Cause It's You - Red Velvet - [None],442,387,848,273,554,596,421,431,474,445,311,301,275,436,546,568,524,605,356,554,481,578,366,651,351,356,673,334,665,384,545,275,413,490,512,307,400,379,352,491,473,293,805,442,363,371,470,449,403,478,520,479,542,275,577,334,478,433,310,521,396,472,305,658,389,355,568,293,374,465,473,369,645,376,536,407,321,238,503,441,459,394,294,328,634,710,283,527,506,360,480,532
Lady's Room - Red Velvet - [None],373,328,273,662,465,500,333,356,409,382,304,318,278,384,452,516,451,492,342,476,364,489,334,529,400,299,515,261,519,371,392,230,360,419,389,307,349,356,333,472,444,263,612,393,338,311,435,391,383,406,452,435,470,288,520,296,432,407,322,464,351,388,339,517,341,331,408,282,317,347,376,355,503,376,449,359,321,260,402,412,330,364,298,293,488,576,235,463,406,344,353,461
Eyes Locked Hands Locked - Red Velvet - [None],911,653,554,465,2214,1421,661,699,1015,935,593,514,416,950,1140,1340,1235,1315,729,1378,970,1374,645,1519,670,714,1472,507,1609,878,1151,411,685,1154,1055,476,892,820,709,1111,1046,472,2011,1021,760,638,1185,986,755,1113,1231,960,1300,450,1372,532,1017,893,535,1242,794,1027,637,1719,741,634,1062,416,719,694,987,617,1556,662,1178,781,526,355,986,1091,777,787,592,489,1497,1876,421,1225,1002,651,875,1243
Butterflies - Red Velvet - [None],1069,704,596,500,1421,2597,854,808,1183,1036,641,557,524,1029,1333,1710,1479,1600,803,1566,1056,1646,729,1868,741,795,1806,513,1894,1032,1158,441,784,1246,1045,507,966,931,754,1189,1222,517,2274,1032,812,768,1293,1081,867,1330,1338,1243,1477,516,1713,547,1167,1130,639,1423,857,1039,658,1872,782,766,1126,459,729,789,1004,761,1908,840,1374,932,634,416,1178,1244,853,925,676,551,1685,2105,386,1513,1105,735,961,1481
Aitai-tai - Red Velvet - [None],517,445,421,333,661,854,1097,446,517,583,392,374,348,551,633,773,716,679,446,724,568,746,450,800,413,455,765,309,822,540,530,294,451,600,501,331,476,445,443,602,612,344,939,566,478,441,648,617,496,651,664,637,715,338,759,332,608,563,376,669,451,516,419,833,483,458,541,322,427,532,528,471,804,461,623,525,420,276,652,594,585,431,449,327,743,865,270,715,553,396,478,703
With You - Red Velvet - [None],600,399,431,356,699,808,446,1058,662,548,404,397,333,520,714,828,698,806,499,694,518,759,447,852,477,436,877,371,837,553,696,299,473,649,659,326,502,529,440,685,662,338,1005,520,479,473,657,523,531,618,686,636,713,356,803,386,591,654,388,726,537,581,356,833,485,487,652,340,453,460,555,477,870,525,732,518,417,296,612,559,458,552,371,391,841,940,302,709,647,462,585,692
Power Up - Red Velvet - [None],911,484,474,409,1015,1183,517,662,1895,791,572,442,461,708,1295,1174,988,1473,697,963,748,1341,588,1554,586,615,1304,437,1396,1044,949,343,603,1040,858,387,739,855,553,909,893,376,1776,709,622,650,959,723,674,954,1049,934,1341,448,1459,425,816,977,564,1354,702,756,455,1276,562,623,859,362,525,566,699,599,1452,688,1330,855,460,360,1052,905,580,1048,535,454,1470,1652,328,987,805,577,738,1329
Jelly - Red Velvet - [None],725,473,445,382,935,1036,583,548,791,1581,502,441,388,666,872,1032,927,986,623,999,915,1138,526,1153,529,554,1037,377,1236,699,820,339,573,789,740,404,787,622,548,828,811,388,1408,687,749,526,905,726,627,848,927,774,987,366,1089,411,772,713,444,946,595,711,470,1181,546,532,767,368,572,587,700,530,1162,554,891,642,464,316,816,776,627,629,482,428,1170,1323,325,910,695,509,657,945
Parade - Red Velvet - [None],631,370,311,304,593,641,392,404,572,502,926,337,365,458,621,651,656,651,566,614,531,677,417,746,417,560,673,270,789,524,531,240,383,530,547,301,445,424,408,576,582,300,838,476,449,453,709,508,497,625,629,589,655,331,707,295,530,545,399,679,526,453,367,720,408,476,484,276,374,419,428,454,768,458,630,471,344,295,538,507,420,470,448,333,706,784,231,623,478,386,447,656
Sunny Afternoon - Red Velvet - [None],443,362,301,318,514,557,374,397,442,441,337,759,332,440,493,605,512,514,397,560,410,548,375,593,367,351,569,305,616,422,453,274,416,489,466,325,395,396,382,531,527,332,684,442,399,344,521,461,426,480,535,458,528,323,609,339,503,435,323,519,388,433,373,630,423,368,457,356,399,375,440,410,608,453,510,420,356,284,443,469,400,390,353,375,548,648,274,530,487,403,441,510
Bad Dracula - Red Velvet - [None],457,318,275,278,416,524,348,333,461,388,365,332,754,397,513,534,507,521,395,488,399,539,348,619,401,376,550,261,612,429,409,240,358,450,394,298,357,378,314,420,459,279,681,403,366,387,462,435,409,505,511,510,553,327,580,262,468,470,398,526,388,360,327,584,332,404,388,259,305,362,352,420,618,484,517,401,306,327,466,432,359,401,373,329,553,614,222,497,398,358,384,543
Cool Hot Sweet Love - Red Velvet - [None],714,550,436,384,950,1029,551,520,708,666,458,440,397,1533,864,994,956,955,531,972,706,1015,504,1118,607,550,1085,380,1154,683,679,369,500,861,694,417,645,636,516,734,808,431,1381,745,577,570,769,812,627,863,877,809,954,421,983,415,852,718,546,912,547,742,557,1197,539,540,759,354,526,562,683,554,1205,614,828,617,430,356,760,919,602,606,526,414,1074,1258,323,955,739,553,621,926
